PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0081,03_03904_001156,87793,Alicante/Alacant,-0.84093486_ ,38.17064684_ ,3904
TSI-068100-2024-0081,03_03118_001150,39479,Alicante/Alacant,-0.70087086_ ,38.11591470_ ,3118
TSI-068100-2024-0081,03_03034_000452,83648,Alicante/Alacant,-0.73969099_ ,38.08199122_ ,3034
TSI-068100-2024-0081,03_03084_000922,83659,Alicante/Alacant,-0.31091843_ ,38.83906145_ ,3084
TSI-068100-2024-0081,03_03092_000956,941,Alicante/Alacant,-0.44739251_ ,38.78231879_ ,3092
TSI-068100-2024-0081,03_03088_000932,88997,Alicante/Alacant,-0.71980927_ ,38.38566623_ ,3088
TSI-068100-2024-0081,03_03012_000061,88832,Alicante/Alacant,-0.79168605_ ,38.07116212_ ,3012
TSI-068100-2024-0081,03_03112_001134,83637,Alicante/Alacant,-0.30963691_ ,38.58969700_ ,3112
TSI-068100-2024-0081,03_03088_000930,89000,Alicante/Alacant,-0.72722631_ ,38.37982396_ ,3088
TSI-068100-2024-0026,03_03042_001477,0000000-0301907,Alicante/Alacant,0.17523388_ ,38.71596424_ ,3042
TSI-068100-2024-0026,03_03106_001124,0000000-0300035,Alicante/Alacant,-0.30648010_ ,38.79556432_ ,3106
TSI-068100-2024-0026,03_03132_001254,0000000-0300030,Alicante/Alacant,-0.41007832_ ,38.61221633_ ,3132
TSI-068100-2024-0026,03_03136_001326,0000000-0300308,Alicante/Alacant,-0.25073218_ ,38.82201402_ ,3136
TSI-068100-2024-0026,03_03135_001480,0000000-0300554,Alicante/Alacant,-0.16200921_ ,38.80254799_ ,3135
TSI-068100-2024-0026,03_03008_000019,0000000-0300032,Alicante/Alacant,-0.32221135_ ,38.65624995_ ,3008
TSI-068100-2024-0082,04_04094_000615,89368,Almería,-2.25915565_ ,37.02740524_ ,4094
TSI-068100-2024-0082,04_04059_000395,27962,Almería,-2.05048473_ ,37.19720961_ ,4059
TSI-068100-2024-0082,04_04070_000478,sin info_AL9216,Almería,-2.22412986_ ,37.50749528_ ,4070
TSI-068100-2024-0082,04_04078_000503,87733,Almería,-2.46451772_ ,36.98759201_ ,4078
TSI-068100-2024-0082,04_04032_000223,88338,Almería,-1.98530880_ ,36.98361158_ ,4032
TSI-068100-2024-0082,04_04092_000605,87911,Almería,-2.50103163_ ,37.38606289_ ,4092
TSI-068100-2024-0082,04_04083_000568,92139,Almería,-2.56756015_ ,37.38125570_ ,4083
